MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,URI,0001067701,US9113631090,20,201070
XNYS,MFA,0001055160,US55272X6076,40,402040
XNYS,BDN,0000790816,US1053682035,60,601040
XNYS,GPI,0001031203,US3989051095,25,255040
XNYS,LNN,0000836157,US5355551061,20,201060
XNGS,PARA,0000813828,US92556H2067,50,502010
XNYS,INVX,0001042893,US4576511079,10,101010
XNYS,FDP,0001047340,KYG367381053,30,302020
XNYS,EPR,0001045450,US26884U1097,60,601080
XNYS,GPK,0001408075,US3886891015,15,151030
XNYS,AMG,0001004434,US0082521081,40,402030
XNYS,HZO,0001057060,US5679081084,25,255040
XNYS,SAP,0001000184,US8030542042,45,451030
XNYS,SCS,0001050825,US8581552036,20,202010
XNYS,PRG,0001808834,US74319R1014,40,402020
XNYS,MKC,0000063754,US5797802064,30,302020
XNYS,A,0001090872,US00846U1016,35,352030
XNYS,TKC,0001071321,US9001112047,50,501020
XNYS,FHI,0001056288,US3142111034,40,402030
XNYS,JLL,0001037976,US48020Q1076,60,602010
